frame,time_s,detected,vis_min,phase,phase_pct,kick_side,kick_knee_angle,kick_hip_flexion,kick_ankle_angle,kick_hip_abduction,kick_elbow_angle,sup_knee_angle,sup_hip_flexion,sup_ankle_angle,sup_hip_abduction,sup_elbow_angle,trunk_lean_total,trunk_lean_sagittal,trunk_lean_frontal,pelvis_tilt_frontal,pelvis_rotation,shoulder_rotation,shoulder_hip_separation,pelvis_foreshorten_ratio,pelvis_tilt_conf,kick_leg_ext_ratio,sup_leg_ext_ratio,kick_ankle_reach_ap,kick_ankle_reach_ml,kick_ankle_height,kick_knee_height,sup_ankle_height,kick_wrist_height,sup_wrist_height,com_ap,com_ml,com_height,com_speed,com_vel_ap,com_vel_vert,com_over_base_ap,com_over_base_ml,com_base_dist,sup_ankle_speed,sup_foot_planted,kick_knee_angle_vel,kick_hip_flexion_vel,sup_knee_angle_vel,trunk_lean_sagittal_vel,pelvis_tilt_frontal_vel,kick_leg_ext_ratio_vel,kick_ankle_speed
0,0.0,1,0.81762,ready,0.0,left,170.12729,7.32151,112.08164,6.0715,87.10174,167.68962,5.70524,107.28138,7.41854,72.47966,11.16902,1.09858,-11.11347,2.18031,-121.51351,-124.34794,-2.83443,0.85354,0.78808,0.9712,0.97234,0.36617,0.41711,-1.5495,-0.83901,-1.48163,-0.33999,-0.39652,0.01578,-0.0774,0.1974,0.19588,0.14429,-0.07239,0.42256,-0.15041,0.44853,2.83048,0,10.55332,29.09438,-20.73866,27.30047,13.48971,0.11615,1.17362
1,0.03333,1,0.87919,ready,2.86,left,170.47907,8.29132,112.81181,5.36857,87.4039,166.99834,5.6343,105.01733,9.49533,73.51616,10.89141,2.0086,-10.70014,2.62996,-120.965,-121.42218,-0.45718,0.84494,0.77634,0.97507,0.98377,0.38527,0.38499,-1.56079,-0.84467,-1.47172,-0.32366,-0.39666,0.02068,-0.07354,0.19496,0.09373,0.08769,0.02477,0.48758,-0.22023,0.53501,1.27105,0,18.95383,23.86028,-6.1423,10.94066,-4.35036,0.10568,0.97433
2,0.06667,1,0.81001,ready,5.71,left,171.39088,8.91219,112.0462,8.19272,85.61455,167.28014,6.42787,108.00227,8.63356,74.41503,11.51117,1.82796,-11.36117,1.89028,-121.52251,-122.41074,-0.88823,0.83972,0.76926,0.97824,0.97072,0.4092,0.46583,-1.54539,-0.83418,-1.46104,-0.31007,-0.39649,0.02171,-0.07577,0.19903,0.17098,0.07705,0.12164,0.50832,-0.17782,0.53852,1.35673,0,5.97647,49.63231,2.08606,-4.66208,-27.5912,0.06382,2.18441
3,0.1,1,0.80817,ready,8.57,left,170.8775,11.60014,110.97579,9.90062,81.74213,167.13741,7.01555,109.76591,7.25578,76.76472,12.0693,1.69779,-11.94572,0.79055,-121.949,-124.72522,-2.77622,0.85981,0.79701,0.97932,0.95479,0.43767,0.51655,-1.5271,-0.81253,-1.45312,-0.31227,-0.40017,0.02577,-0.07976,0.20313,0.17725,0.16381,0.03396,0.49511,-0.13418,0.51297,0.52173,1,-27.57501,85.92002,-32.12238,2.94679,-25.97616,-0.08898,0.87529
4,0.13333,1,0.82687,ready,11.43,left,169.55255,14.64019,111.26327,6.64388,79.09833,165.13865,5.5246,105.39174,7.9249,79.16437,11.74854,2.02441,-11.5679,0.15854,-122.48123,-126.78114,-4.29992,0.86684,0.80677,0.97231,0.95581,0.45119,0.42866,-1.52889,-0.79425,-1.44945,-0.32472,-0.41325,0.03264,-0.07977,0.20142,0.1997,0.17367,-0.09167,0.47932,-0.17717,0.51102,0.98342,0,-41.38908,84.31499,-59.13654,7.63221,-17.59028,-0.20329,2.72825
5,0.16667,1,0.83077,ready,14.29,left,168.11823,17.22114,112.01231,2.99157,80.84655,163.19497,4.52338,102.30205,8.02961,78.91157,11.61362,2.20661,-11.39633,-0.38213,-122.61576,-127.71103,-5.09527,0.87316,0.81531,0.96577,0.95978,0.45426,0.33544,-1.52994,-0.78213,-1.45365,-0.34785,-0.42414,0.03745,-0.08218,0.19715,0.24509,0.15282,-0.10067,0.47091,-0.20125,0.51211,0.54905,1,-48.84067,71.52163,-35.56924,3.93647,-19.85585,-0.19771,1.56417
6,0.2,1,0.84111,ready,17.14,left,166.2965,19.4083,112.28088,2.58317,83.86182,162.76736,5.29544,102.8853,7.31399,79.11391,12.56916,2.28684,-12.35266,-1.16518,-121.77569,-127.21299,-5.4373,0.89751,0.8496,0.95913,0.95978,0.47205,0.32765,-1.51371,-0.76889,-1.46587,-0.37763,-0.42383,0.0429,-0.09059,0.19475,0.23573,0.18007,0.003,0.44904,-0.19356,0.48898,1.28658,0,-48.15593,67.33717,-6.08661,-0.2539,-25.10599,-0.16899,0.8225
7,0.23333,1,0.8484,ready,20.0,left,164.90783,21.71029,113.04952,1.83143,84.28434,162.7892,3.45425,100.1676,9.52228,81.32388,13.16634,2.18968,-12.9765,-2.05587,-123.14264,-129.13056,-5.98791,0.84725,0.77898,0.95451,0.96855,0.49385,0.31455,-1.49824,-0.75189,-1.47417,-0.38717,-0.43227,0.04952,-0.09227,0.19733,0.25958,0.19141,0.13708,0.4015,-0.2566,0.4765,2.02542,0,-37.476,66.95092,1.6022,-3.22022,-25.96527,-0.08651,1.21069
8,0.26667,1,0.76809,ready,22.86,left,163.7981,23.8717,114.35168,-0.68959,87.21933,162.87418,1.09618,96.35709,12.04031,82.50129,12.16116,2.07216,-11.97799,-2.8962,-125.98857,-133.04026,-7.05169,0.76888,0.67345,0.95336,0.97791,0.5122,0.26068,-1.49301,-0.73495,-1.47692,-0.39618,-0.4598,0.0558,-0.08329,0.20395,0.33298,0.20076,0.15598,0.36493,-0.30981,0.4787,0.71108,0,-35.05973,59.53332,12.2101,3.42241,-23.67491,-0.02472,1.45838
9,0.3,1,0.63762,ready,25.71,left,162.57052,25.67917,115.28457,-1.82525,92.3906,163.6032,1.46561,98.24814,10.50817,82.98071,11.05788,2.41784,-10.7838,-3.63419,-125.03039,-133.73871,-8.70832,0.7911,0.70234,0.95286,0.97332,0.54809,0.23492,-1.48446,-0.72175,-1.48748,-0.43726,-0.49074,0.06307,-0.07793,0.20783,0.18958,0.18689,0.0145,0.35931,-0.2589,0.44287,1.53336,0,-14.39209,42.28597,27.14929,11.03868,-17.47769,0.00156,1.20963
10,0.33333,1,0.61269,ready,28.57,left,162.83863,26.69076,116.01578,-1.89875,93.63221,164.68413,3.02782,101.71937,8.26839,85.31803,11.03937,2.80808,-10.66757,-4.06138,-122.71877,-132.49102,-9.77224,0.84669,0.77734,0.95347,0.97134,0.58345,0.22612,-1.47748,-0.71937,-1.50515,-0.47334,-0.51006,0.06833,-0.08136,0.20494,0.21386,0.10414,-0.13087,0.34863,-0.20304,0.40344,1.31525,0,30.51573,15.74218,34.56509,9.26845,-0.21373,0.05763,1.00864
11,0.36667,1,0.60809,ready,31.43,left,164.6049,26.72865,116.65673,-3.58814,92.93132,165.90754,3.9248,102.46338,7.93794,86.46434,11.21893,3.03574,-10.79013,-3.64844,-122.29822,-132.0693,-9.77107,0.86571,0.80358,0.9567,0.97687,0.58463,0.17856,-1.48643,-0.73143,-1.51889,-0.47733,-0.50066,0.06997,-0.08678,0.19903,0.19093,0.06333,-0.11494,0.32569,-0.19052,0.37732,0.74437,0,37.45405,5.05776,28.24672,10.97497,17.22575,0.05557,1.40118
12,0.4,1,0.60633,ready,34.29,left,165.33557,27.02795,116.90304,-5.43539,93.92707,166.56724,4.69895,102.82343,7.7744,83.83942,11.33667,3.53974,-10.75595,-2.913,-121.91094,-132.4367,-10.52577,0.89292,0.84105,0.95717,0.98033,0.57276,0.13476,-1.49429,-0.74114,-1.52529,-0.47482,-0.46291,0.07247,-0.09068,0.19718,0.09458,0.07613,0.02669,0.31889,-0.18088,0.36662,0.2449,1,10.54721,8.22424,9.89416,13.07734,11.75622,-0.04842,0.66401
13,0.43333,1,0.40047,ready,37.14,left,165.30805,27.27694,116.72844,-5.44454,93.91089,166.56715,4.88579,103.00827,7.77216,80.46215,11.43801,3.90756,-10.73289,-2.86469,-121.96393,-134.54202,-12.57809,0.89488,0.84414,0.95347,0.97926,0.57075,0.13641,-1.48876,-0.73696,-1.52305,-0.47142,-0.42916,0.07496,-0.09023,0.20078,0.17425,0.03853,0.09944,0.31945,-0.18139,0.36736,0.14087,1,7.37382,-8.50677,3.5292,5.81999,4.7134,-0.07185,0.14921
14,0.46667,1,0.39619,ready,40.0,left,165.82715,26.46083,116.68221,-5.58902,93.30501,166.80252,4.10338,102.5775,7.97077,79.85905,10.44896,3.92774,-9.66728,-2.59877,-123.3155,-136.95754,-13.64204,0.86034,0.7952,0.95238,0.97674,0.56449,0.13476,-1.48861,-0.73569,-1.51712,-0.46128,-0.41515,0.07498,-0.08162,0.20386,0.31939,0.02758,0.03578,0.31381,-0.17247,0.35808,0.48254,1,13.17016,-31.08604,7.95641,7.69136,20.48555,-0.02343,0.39219
15,0.5,1,0.34884,ready,42.86,left,166.18606,25.20453,117.35073,-6.85815,95.75949,167.09758,4.10558,103.3018,7.12568,79.84699,8.82297,4.42032,-7.62053,-1.49899,-123.83838,-137.2416,-13.40321,0.86962,0.80812,0.95191,0.97641,0.55609,0.11553,-1.49458,-0.74518,-1.51792,-0.45979,-0.41013,0.0768,-0.06919,0.20322,0.25843,0.07192,-0.04443,0.31963,-0.1302,0.34514,0.87931,0,2.62108,-20.85469,10.96155,18.32589,25.55097,-0.07451,0.40198
16,0.53333,1,0.34333,ready,45.71,left,166.00189,25.07052,117.93133,-7.42109,98.39105,167.53329,4.05464,104.72671,6.15256,77.4602,8.65821,5.14947,-6.94157,-0.89537,-124.0501,-137.58404,-13.53393,0.89878,0.84942,0.94741,0.97793,0.55158,0.11138,-1.49081,-0.74869,-1.52235,-0.47052,-0.40915,0.07981,-0.06535,0.20089,0.03715,0.01046,-0.03433,0.33368,-0.10078,0.34857,0.38029,1,0.12273,0.95337,21.6985,8.43626,5.31637,-0.14165,0.42082
17,0.56667,1,0.29363,ready,48.57,left,166.19424,25.26809,117.0323,-6.39675,96.4046,168.54415,2.97036,104.60132,7.00851,75.75147,9.57513,4.98273,-8.15572,-1.14457,-124.93309,-138.86339,-13.9303,0.87935,0.82114,0.94247,0.97801,0.53504,0.1309,-1.48431,-0.7417,-1.51922,-0.4787,-0.41542,0.0775,-0.06988,0.20088,0.17373,-0.14214,0.07461,0.34001,-0.12013,0.36061,0.93934,0,19.43234,-28.4356,18.1656,-14.02184,-7.44685,-0.07748,1.30382
18,0.6,1,0.30576,ready,51.43,left,167.29738,23.17481,115.92758,-3.42998,93.60775,168.74433,1.45197,103.20897,8.67949,78.64355,10.11442,4.21468,-9.17767,-1.39183,-124.98271,-139.17972,-14.19701,0.85053,0.78133,0.94225,0.97717,0.51177,0.18849,-1.4868,-0.74048,-1.5084,-0.47527,-0.42838,0.07032,-0.06985,0.20582,0.26359,-0.22661,0.13409,0.35178,-0.15955,0.38627,1.08312,0,41.70972,-72.5383,-16.87448,-20.18815,-6.2433,-0.00738,1.69314
19,0.63333,1,0.26453,ready,54.29,left,168.97489,20.4322,115.87893,-1.04014,94.24008,167.41918,1.38075,102.62355,8.2977,82.29021,10.29749,3.63686,-9.62077,-1.56079,-124.56316,-138.90331,-14.34014,0.84053,0.767,0.94197,0.97105,0.49233,0.23526,-1.48768,-0.74476,-1.49407,-0.45657,-0.4314,0.06241,-0.07074,0.2098,0.2703,-0.20422,0.04992,0.36998,-0.17343,0.40861,0.85081,0,9.18005,-35.01681,-45.31004,-15.95957,-5.38907,-0.15442,0.77551
20,0.66667,1,0.18824,ready,57.14,left,167.90938,20.84036,115.14975,-2.46445,95.29178,165.72367,4.409,102.62474,6.65207,83.07786,10.95243,3.1507,-10.47872,-1.7511,-124.65789,-138.44959,-13.7917,0.82233,0.74167,0.93196,0.95586,0.46503,0.20827,-1.47719,-0.73798,-1.47261,-0.42909,-0.42077,0.05673,-0.0812,0.20913,0.23718,-0.13488,-0.01367,0.38167,-0.16479,0.41573,0.9529,0,-40.91476,5.68189,-29.70256,-12.76967,2.56584,-0.2144,0.85127
21,0.7,1,0.2053,ready,60.0,left,166.24724,20.811,114.19833,-2.26295,93.45996,165.43901,5.03102,102.59422,6.74948,84.07274,11.57106,2.78555,-11.22176,-1.38973,-125.05399,-137.49965,-12.44566,0.81896,0.73729,0.92768,0.94729,0.43765,0.22648,-1.47549,-0.73599,-1.45596,-0.41401,-0.43336,0.05346,-0.08372,0.20885,0.23085,-0.18254,-0.00783,0.40499,-0.15657,0.4342,0.94864,0,17.24826,-80.32443,0.1944,-12.93308,17.40968,0.15802,2.44279
22,0.73333,1,0.11297,ready,62.86,left,169.05927,15.48539,114.68038,3.71983,89.76513,165.73663,4.26955,103.48474,7.89915,85.39351,11.4206,2.2885,-11.1829,-0.59045,-126.26864,-137.28049,-11.01185,0.8291,0.75239,0.94249,0.95904,0.41811,0.36344,-1.49243,-0.75863,-1.46502,-0.4052,-0.47453,0.04463,-0.07181,0.20855,0.47605,-0.33577,0.00483,0.4395,-0.14298,0.46217,0.98643,0,79.53531,-146.67665,7.87299,-21.50837,18.67988,0.36564,3.32371
23,0.76667,1,0.19587,ready,65.71,left,171.54959,11.03255,114.39088,7.21177,88.82172,165.96388,4.84469,103.45261,8.53288,85.85747,10.47389,1.35165,-10.38435,-0.1444,-127.9765,-138.05701,-10.08051,0.789,0.69964,0.95206,0.96905,0.38813,0.4409,-1.50137,-0.77524,-1.47187,-0.36978,-0.50495,0.0311,-0.06123,0.20914,0.34455,-0.20041,0.07835,0.4492,-0.13948,0.47036,0.6137,0,19.13208,-59.78214,-34.75799,-15.10636,5.1397,0.02336,0.88175
24,0.8,1,0.26184,ready,68.57,left,170.33474,11.49992,113.63222,4.82641,85.16435,163.41943,3.39899,101.53398,9.15784,87.51627,9.01377,1.28141,-8.92072,-0.24781,-129.12788,-138.9896,-9.86172,0.73444,0.62859,0.94405,0.96261,0.36264,0.38121,-1.50073,-0.76786,-1.45422,-0.32877,-0.53533,0.03123,-0.05379,0.21383,0.31276,0.22158,0.07545,0.43407,-0.17066,0.46641,1.39914,0,-19.69162,40.14009,-82.23336,17.51355,-6.90354,-0.05724,1.71791
25,0.83333,1,0.41362,ready,71.43,left,170.23681,13.70856,115.65526,3.17718,80.34052,160.48165,1.69952,101.35362,9.6003,91.70228,8.43352,2.51922,-8.04322,-0.60464,-129.93971,-140.31635,-10.37664,0.72952,0.62236,0.94824,0.96786,0.36642,0.32916,-1.51197,-0.76705,-1.46152,-0.32747,-0.58671,0.04584,-0.04719,0.21431,0.40668,0.37367,-0.05662,0.40663,-0.20802,0.45675,1.97411,0,47.31192,15.04794,-57.35118,30.94388,-11.70484,0.22965,0.77216
26,0.86667,1,0.51486,ready,74.29,left,173.48887,12.50311,117.8102,4.10297,79.41628,159.59601,4.49904,103.9162,9.42799,93.62236,8.77095,3.34433,-8.09903,-1.02813,-131.27176,-141.69826,-10.42649,0.72064,0.61117,0.95936,0.98012,0.36185,0.33758,-1.52753,-0.78607,-1.4898,-0.33689,-0.62521,0.05614,-0.04354,0.21017,0.30206,0.23072,-0.05654,0.35281,-0.21763,0.41454,2.14263,0,65.64577,-68.60385,-84.70257,15.17602,-15.73683,0.27343,0.93638
27,0.9,1,0.56332,ready,77.14,left,174.6132,9.13497,117.11414,4.26842,80.19221,154.83481,9.30138,107.54816,8.89611,92.44329,8.12657,3.53096,-7.31006,-1.65376,-133.62987,-141.83622,-8.20635,0.67492,0.55395,0.96647,0.96341,0.31295,0.34193,-1.54159,-0.81197,-1.47287,-0.32003,-0.64584,0.06117,-0.03472,0.21059,0.36981,0.15867,-0.00423,0.28743,-0.20653,0.35393,2.12077,0,17.35845,-85.4834,-179.21953,8.74712,-17.8151,0.25109,1.85503
28,0.93333,1,0.5809,ready,80.0,left,174.6461,6.80422,115.56222,3.39734,80.16584,147.64805,15.02302,110.37756,7.75448,91.27955,6.72262,3.92748,-5.44747,-2.2158,-135.31089,-140.43314,-5.12225,0.64922,0.52255,0.9761,0.94161,0.24395,0.32314,-1.5626,-0.83401,-1.44806,-0.3007,-0.66909,0.06654,-0.02148,0.20993,0.31657,0.08091,-0.10563,0.23197,-0.17615,0.29127,2.30323,0,-13.06599,-65.88528,-65.28487,7.39105,-7.7833,0.28006,1.98901
29,0.96667,1,0.60871,ready,82.86,left,173.74213,4.74262,114.45773,2.4677,77.06232,150.48249,16.52616,111.64325,5.91294,92.26025,5.67331,4.0237,-3.99295,-2.17265,-134.66598,-139.02934,-4.36336,0.66768,0.54477,0.98514,0.95056,0.19089,0.30718,-1.58079,-0.84491,-1.47874,-0.28848,-0.68008,0.06637,-0.01576,0.20359,0.22452,-0.03966,-0.15235,0.14304,-0.10307,0.1763,3.27989,0,-38.8531,-68.77055,208.11137,-3.85247,-0.63744,0.24873,1.35508
30,1.0,1,0.6512,ready,85.71,left,172.05589,2.21952,113.08662,4.93322,78.59819,161.52214,15.32277,111.96267,5.78669,94.21448,5.21882,3.67064,-3.70469,-2.2583,-135.03673,-139.9056,-4.86887,0.6839,0.56483,0.99268,0.97368,0.17262,0.37372,-1.58524,-0.851,-1.5215,-0.26853,-0.68699,0.06384,-0.01088,0.1998,0.27738,-0.03109,-0.02222,-0.00019,-0.03795,0.03795,3.01536,0,-24.42512,40.85456,275.09029,-10.78357,-13.29683,0.35729,3.58449
31,1.03333,1,0.66728,ready,88.57,left,172.11379,7.46625,111.55311,11.98119,83.0257,168.82184,15.77196,111.12166,10.10775,93.95558,5.66837,3.30479,-4.60018,-3.0591,-137.96417,-141.72049,-3.75631,0.6517,0.52561,1.00896,0.99497,0.17975,0.54594,-1.57763,-0.8547,-1.53619,-0.23687,-0.69695,0.06439,0.00263,0.2021,0.35294,-0.07971,0.11167,-0.10699,-0.08673,0.13772,2.86984,0,41.57807,125.46933,130.53325,-18.33873,-20.16089,0.36398,4.29472
